word,alias,category,kdt_id,seller_num,goods_num,team_name,mobile,qq,wechat,fx_cooperation_weixin,follower_num,fx_team_num,certification,is_recommend_supplier,is_quit_supplier,fxCountMax,fxCountMin,fxCountAvg,url,description
日用,7ohdxszc,运动户外,491391,0,0,绿行户外用品店170301,,66717111,chingwei,,0,0,True,False,True,0,0,0,https://www.youzan.com/v2/fenxiao/market/supplier/7ohdxszc,
日用,du8h8asn,日用百货,16361274,1,0,聚鲨商城全球家居用品特卖,,1410821,GHS525,,2,1,True,False,False,0,0,0,https://www.youzan.com/v2/fenxiao/market/supplier/du8h8asn,30天免费退换货。
日用,u0qvzr62,其他,13584778,479,0,汇通迅达宠物用品专营店,,2305902672,EVSCOTM,,52,480,True,False,True,0,0,0,https://www.youzan.com/v2/fenxiao/market/supplier/u0qvzr62,由品牌商统一发货：保证品牌，质量，售后服务并提供七天无理由退换货服务经验丰富：实力雄厚，拥有多个品牌产品，每
日用,13294gka6,亲子,14410998,3819,0,龙泉贝因美母婴用品超市,,659271110,18767863013,,463,3818,True,False,True,0,0,0,https://www.youzan.com/v2/fenxiao/market/supplier/13294gka6,诚信经营，正品保证
日用,d0divuda,日用百货,13347655,23,0,华泰亚森本色生活用纸,,370293965,candy8840,,3,23,True,False,True,0,0,0,https://www.youzan.com/v2/fenxiao/market/supplier/d0divuda,
日用,w9m4ip02,酒店旅游,16948621,30,0,轻走旅行日本最大地接服务商,,3147657576,qingzou520,,19,30,True,False,True,0,0,0,https://www.youzan.com/v2/fenxiao/market/supplier/w9m4ip02,轻走旅行：日本包车接送机日本民宿地接司导。
日用,hl2jiryf,美妆,2487508,9,0,冬日夏云植物鲜活水170617,,1211216899,13360072323,,1,6,True,False,True,0,0,0,https://www.youzan.com/v2/fenxiao/market/supplier/hl2jiryf,
日用,2i1hyl8t,休闲娱乐,1142486,0,0,大笃堂书法美术艺术用品有限公司,,425145795,dadutang,,3,0,True,False,True,0,0,0,https://www.youzan.com/v2/fenxiao/market/supplier/2i1hyl8t,
日用,1doshkhu1,其他,17920953,80,0,青岛海之洁生活用品直营店170929,,3542513664,aimmyang,,18,80,True,False,True,0,0,0,https://www.youzan.com/v2/fenxiao/market/supplier/1doshkhu1,Febreze中国区分销授权商
日用,ujvw7x9g,日用百货,16362782,822,0,汕头雄兴酒店设备用品一站式商城,,2853679779,13592897197,,107,822,True,False,True,0,0,0,https://www.youzan.com/v2/fenxiao/market/supplier/ujvw7x9g,汕头市桃园雄兴酒店设备用品有限公司是一家从事酒店配套用品经营多年的重信誉守合同的企业。
